ISBN,Title,Author,Year,Publisher,synopsis,subjects,genres,language,pages,binding,image_url,overview
0312982887,The Singing of the Dead (A Kate Shugak Novel),Dana Stabenow,2002,St. Martin's Minotaur,"In <i> Singing of the Dead,</i> the next installment in Dana Stabenow's acclaimed crime series, Kate Shugak hires onto the staff of a political campaign to work security for a Native woman running for state senator. The candidate has been receiving anonymous threats, and Kate, who went to college with two of the staffers, is to become her shadow, watching the crowds at rallies and fundraisers. But just as she's getting started the campaign is rocked by the murder of their staff researcher, who, Kate discovers, was in possession of some damning information about the pasts of both candidates. In order to track the killer, Kate will have to delve into the past, in particular the grisly murder of a ""good-time girl"" during the Klondike Gold Rush in 1915. Little can she guess the impact a ninety-year-old unsolved case could have on a modern-day psychotic killer.","Fiction, Mystery & Detective, Women Sleuths, Private Investigators, Crime","Fiction, Mystery & Detective, Women Sleuths",en,320.0,Mass Market Paperback,https://images.isbndb.com/covers/11397603482299.jpg,
0684852624,Shadow : Five Presidents and the Legacy of Watergate,Bob Woodward,1999,Simon & Schuster,"Twenty-five years ago, after Richard Nixon resigned the presidency, Gerald Ford promised a return to normalcy. ""My fellow Americans, our long national nightmare is over,"" President Ford declared. <p> But it was not. The Watergate scandal, and the remedies against future abuses of power, would have an enduring impact on presidents and the country. In ""Shadow,"" Bob Woodward takes us deep into the administrations of Ford, Carter, Reagan, Bush and Clinton to describe how each discovered that the presidency was forever altered. With special emphasis on the human toll, Woodward shows the consequences of the new ethics laws, and the emboldened Congress and media. Powerful investigations increasingly stripped away the privacy and protections once expected by the nation's chief executive. <p> Using presidential documents, diaries, prosecutorial records and hundreds of interviews with firsthand witnesses, Woodward chronicles how all five men failed first to understand and then to manage the inquisitorial environment. <p> ""The mood was mean,"" Gerald Ford says. Woodward explains how Ford believed he had been offered a deal to pardon Nixon, then clumsily rejected it and later withheld all the details from Congress and the public, leaving lasting suspicions that compromised his years in the White House. <p> Jimmy Carter used Watergate to win an election, and then watched in bewilderment as the rules of strict accountability engulfed his budget director, Bert Lance, and challenged his own credibility. From his public pronouncements to the Iranian hostage crisis, Carter never found the decisive, healing style of leadership the first elected post-Watergate president had promised. <p> Woodward alsoprovides the first behind-the-scenes account of how President Reagan and a special team of more than 60 attorneys and archivists beat Iran-contra. They turned the Reagan White House and United States intelligence agencies upside down investigating the president with orders to disclose any incriminating information they found. A fresh portrait of an engaged Reagan emerges as he realizes his presidency is in peril and attempts to prove his innocence. <p> In ""Shadow,"" a bitter and disoriented President Bush routinely pours out his anger at the permanent scandal culture to his personal diary as a dozen investigations touch some of those closest to him. At one point, Bush pounds a plastic mallet on his Oval Office desk because of the continuing investigation of Iran-contra Independent Counsel Lawrence Walsh. ""Take that, Walsh!"" he shouts. ""I'd like to get rid of this guy."" Woodward also reveals why Bush avoided telling one of the remaining secrets of the Gulf War. <p> The second half of ""Shadow"" focuses on President Clinton's scandals. Woodward shows how and why Independent Counsel Kenneth Starr's investigation became a state of permanent war with the Clintons. He reveals who Clinton really feared in the Paula Jones case, and the behind-the-scenes maneuvering and ruthless, cynical legal strategies to protect the Clintons. ""Shadow"" also describes how impeachment affected Clinton's war decisions and scarred his life, his marriage and his presidency. ""How can I go on?"" First Lady Hillary Clinton asked in 1996, when she was under scrutiny by Starr and the media, two years before the Lewinsky scandal broke. ""How can I?"" <p> ""Shadow"" is an authoritative, unsettling narrative of the modern,beleaguered presidency.","History, United States, 20th Century, Political Science, Political Process, Leadership","History, United States, 20th Century",en,592.0,Hardcover,https://images.isbndb.com/covers/22770723482431.jpg,
0812575059,Conspiracy.Com : A Novel,R. J. Pineiro,2002,Forge Books,"Hunted by the top companies in America, Michael Patrick Ryan was offered the world: high starting salaries, stock options, and signing bonuses. Ryan set his sites on SoftCorp, Inc., a company with only one client-the Internal Revenue Service.<br><br>But Mike Ryan has also fallen into the sights of the FBI. Millions of dollars have been smuggled out of the country, and Karen Frost suspects it's someone in the IRS. The deal: federal protection and immunity for information. But Frost has already lost one informant. Someone who got too close to the truth. As Ryan closes in, he realizes that he is a puppet in a ring masterminded by one man. One man whose agenda is designed to bring America to its knees.<br>","Fiction, Thrillers, Suspense, Political","Fiction, Thrillers, Suspense",en,432.0,Mass Market Paperback,https://images.isbndb.com/covers/8048743482477.jpg,
0553104489,Hawk O'Toole's Hostage,Sandra Brown,1997,Bantam,"To Hawk O'Toole, she was a pawn in a desperate gamble to help his people. To Miranda Price, he was a stranger who'd done the unthinkable: kidnapped her and<br>her young son off a train full of sight-seeing vacationers. Now, held hostage on a distant reservation for reasons she cannot at first fathom, Miranda finds herself battling a captor who is by turns harsh and tender, mysteriously aloof and dangerously seductive. <br>Hawk had assumed that Miranda Price, the beautiful ex-wife of Representative Price, would be as selfish and immoral as the tabloids suggested. Instead, she<br>seems genuinely afraid for her son's life--and willing to risk her own to keep him safe. But committed to a fight he didn't start, Hawk knows he can't afford to feel anything but contempt for his prisoner. To force the government to reopen the Lone Puma Mine, he must keep Miranda at arm's length, must remember that she is his enemy--even when she ignites his deepest desires. <br>Slowly, Miranda begins to learn what drives this brooding, solitary man, to discover the truth about his tragic past. But it will take a shocking revelation to finally force her to face her own past and the woman she's become, and to ask herself: Is it freedom she really wants...or the chance to stay with Hawk forever? <br>Sizzling entertainment from the first tantalizing scene to the last, ""Hawk O'Toole's Hostage is one of Sandra Brown's classic romances available in<br>hardcover for the first time.","Fiction, Romance, Contemporary","Fiction, Romance, Contemporary",en,215.0,Hardcover,https://images.isbndb.com/covers/25321503482384.jpg,
0345382293,If I'd Killed Him When I Met Him...: An Elizabeth Mac Pherson Novel,Sharyn McCrumb,1995,Ballantine Books,"""Whenever Sharyn McCrumb suits up her amateur detective, Elizabeth MacPherson, it's pretty certain that a trip is in the offing and that something deadly funny will happen on the road."" <br>--The New York Times Book Review<br>Now, the author of She Walks These Hills brings her storytelling gifts to a novel about crimes committed a century apart.<br>For forensic anthropologist Elizabeth MacPherson, solving mysteries hardly seems the fun it used to be--even if she is the official private investigator for her brother Bill's fledgling Virginia law firm. Then Bill and his feminist firebrand partner, A. P. Hill, take on two complex cases that will require Elizabeth's special participation.<br>Eleanor Royden, a perfect lawyer's wife for twenty years, has shot her ex-husband and his beautiful late-model wife in cold blood. And Donna Jean Morgan finds herself married to a Bible-thumping bigamist who has the nerve to die in circumstances that implicate his wife. <br>A. P. does her damnedest for Eleanor, an abused wife in denial, and Bill gallantly defends Donna Jean. Meanwhile, Elizabeth's forensic expertise, including her special knowledge of poisons, gives her the most challenging case of her career.<br>As questions of wife abuse and abandonment emerge in the court of public opinion, Elizabeth becomes a war correspondent in the battle of the sexes--a battle as old as the hills and unlikely to reach a truce any time soon....","Fiction, Mystery & Detective, Women Sleuths","Fiction, Mystery & Detective, Women Sleuths",en,277.0,Hardcover,https://images.isbndb.com/covers/26448003482310.jpg,
055356045X,Temperatures Rising,Sandra Brown,1993,Bantam Books,"Darkly handsome with an arrogant edge, architectural engineer Scout Ritland is the kind of American man who spells trouble. Chantal duPont should know, for she has experienced the best and worst of the country and its people—including one who broke her heart. Yet here she is, home on sultry Parrish Island, putting herself in the way of another bold Yankee. This time, however, it’s for a good cause: Scout is the one man who can help her village, and she’s not about to let him get the better of her—no matter how much she may want to.<br><br>Fresh from completing his work on the island’s new luxury resort, Scout’s ready for a little recreation—though being kidnapped and shot isn’t on his agenda. But when he catches sight of an exotic beauty with electric blue eyes, events quickly spin out of control. Scout should be outraged to find himself held captive, but an abductor as alluring as Chantal makes it hard to stay angry. <br><br>Soon Scout is swept up by Chantal’s need to help her people—and the role he is to play in her ambitious plan. With each passing day, the work and the woman present him with challenges he could never find at home. But as the project progresses, intrigue and adventure burn hotter than the island’s volcano—and two people who have met their match in each other face a future that could tear them apart....","Fiction, Romance, Contemporary, Women, Suspense","Fiction, Romance, Contemporary",en,240.0,Mass Market Paperback,https://images.isbndb.com/covers/1795443482385.jpg,
0393010465,Fire,Sebastian Junger,2001,W.W. Norton & Company,"<p>Forest fires, terrorism, war: explorations of danger by the author of The Perfect Storm.</p> For readers and viewers of The Perfect Storm, opening this long-awaited new work by Sebastian Junger will be like stepping off the deck of the Andrea Gail and into the inferno of a fire burning out of control in the steep canyons of Idaho. Here is the same meticulous prose brought to bear on the inner workings of a terrifying elemental force; here is a cast of characters risking everything in an effort to bring that force under control.<br> <br> Few writers have been to so many desperate corners of the globe as has Sebastian Junger; fewer still have provided such starkly memorable evocations of characters and events. From the murderous mechanics of the diamond trade in Sierra Leone to the logic of guerrilla warfare in Afghanistan and the forensics of genocide in Kosovo, this new collection of Junger's nonfiction will take you places you wouldn't dream of going to on your own.","History, Modern, 20th Century, Nature, Natural Disasters, Political Science, Terrorism, World, Science, Social Science, Disasters & Disaster Relief, Technology & Engineering, Military Science","History, Modern, 20th Century",en,224.0,Hardcover,https://images.isbndb.com/covers/25271333482327.jpg,
0446516325,Fat Tuesday,Sandra Brown,1997,Warner Books Inc,"It's the day of sin, when sexuality explodes on the streets and no one is who they seem. For a cop turned outlaw, and for a beautiful woman held captive in a loveless marriage, New Orleans's Mardi Gras will offer them their last chance for freedom - and each other. Burke Basile is the hard-bitten cop whose world shattered when a fellow officer died from a bullet fired from Burke's own handgun. When his unhappy marriage crumbles, and he has nothing left to lose, Burke focuses his rage on his nemesis: Pinkie Duvall, a sinister, flamboyant defense attorney who has just helped a known killer get away with another murder. Determined to bring the powerful Duvall down, Burke strikes at the attorney's most vulnerable spot: the gorgeous wife Duvall pampers but keeps prisoner, a woman whose love Pinkie will never have. Remy Duvall was destitute and at the mercy of New Orleans's streets before Duvall made her his trophy. When Burke strikes, taking Remy as his captive, it sets off a duel between the criminal lawyer and the ex-cop that explodes from the streets of the French Quarter and intensifies in the steamy swamps. For Burke, who is struggling with his own anguished spirit, his fight with Duvall is a matter of honor. But the one thing he could never have imagined is the passion that erupts between himself and Duvall's wife. As dozens of players - from the innocent to the corrupt - are drawn into the drama, Burke and Remy have one way out: through a desperate confrontation in the middle of Mardi Gras madness.","Fiction, Mystery & Detective, Romance, Suspense, Southern","Fiction, Mystery & Detective, Romance",en,454.0,Hardcover,https://images.isbndb.com/covers/26699933482346.jpg,
0446516562,Charade,Sandra Brown,1994,Warner Books Inc,"After Cat Delaney receives a heart transplant, she thinks that she can begin life anew by hosting a television show, but suddenly someone is murdering transplant recipients, and Cat is next on the list. Major ad/promo. Doubleday Main. Tour.","TEXAS_FICTION, MAN-WOMAN RELATIONSHIPS_FICTION, DELANEY, CAT (FICTITIOUS CHARACTER)_FICTION, FICTION_ROMANCE_SUSPENSE, SERIAL MURDERS_FICTION","TEXAS_FICTION, MAN-WOMAN RELATIONSHIPS_FICTION, DELANEY, CAT (FICTITIOUS CHARACTER)_FICTION",en,405.0,Hardcover,https://images.isbndb.com/covers/26702293482346.jpg,
0446519006,As Time Goes by: A Novel of Casablanca,Michael Walsh,1998,Replica Books,"A daring journey of adventure, courage & romance, traversing the world from Casablanca to Lisbon to New York to London to Prague & then Paris, expanding & intensifying the classic movie Casablanca.",Fiction,Fiction,en,432.0,Hardcover,https://images.isbndb.com/covers/26726733482346.jpg,
0553208071,Night,Elie Wiesel,1982,Bantam Books,"""Night--A terrifying account of the Nazi death camp horror that turns a young Jewish boy into an agonized witness to the death of his family ... the death of his innocence ... and the death of his God. Penetrating and powerful, as personal as The diary of Anne Frank, Night awakens the shocking memory of evil at its absolute and carries with it the unforgettable message that this horror must never be allowed to happen again""--Provided by publisher.","Biography & Autobiography, Historical, Literary Figures, Jewish, History, Modern, 20th Century, Holocaust","Biography & Autobiography, Historical, Literary Figures",en,109.0,Paperback,https://images.isbndb.com/covers/26357423482384.jpg,
0451141989,Devil's Embrace,Catherine Coulter,1985,Onyx Books,"Dear Reader:In Devil's Embrace, my very first historicla romance, we meet two charcters whoa re still very real to me: Cassandra Brougham and Anthony Welles. For beautiful Cassie, the seething city of Genoa seems a world away form her 18th-century estate where she was raised. It is here that she meets Lord Anthony Welles, the brutally handsome aristocrat who swears that he will win Cassie's heart even as her conquers her body. To give you an idea of how much Anthony-the devil-wants Cassandra, he kidnaps her on the eve of her wedding to another man and sails away with her!If you missed Anthony and Cassandra's story the first time around, try it now. I hope you will enjoy reading their unusual love story as much as I enjoyed writing it. Do let me know what you think!","Fiction, Romance, Historical","Fiction, Romance, Historical",en,379.0,Mass Market Paperback,https://images.isbndb.com/covers/16784973482348.jpg,
0765345889,I Love You Like a Tomato,Marie Giordano,2004,Forge,"ChiChi Maggiordino will do anything to get God's attention. She will hold her breath, stand on tiptoe for an hour, walk a mile backward, climb all stairs on her knees... anything. When her grandmother teaches her how to use the Evil Eye, telling her it's how Jesus Christ made his miracles and how the Italians got rid of Mussolini, ChiChi realizes it's what her prayers have been missing. Now she can get started on the business of making her mother happier by helping her find love, and healing her brother's weak lungs.<br><br>But ChiChi's family lives in Minneapolis, and it's the 1950s. For an Italian immigrant family, sometimes it seems like nothing can make life easier. ChiChi's mother still pines for her husband, a long-dead American soldier; ChiChi's brother is disdainful of her sacrifices and penance-he doesn't understand what his older sister already knows, that sometimes God needs to be bribed. <br><br>When her grandmother passes away, ChiChi steps up her search for meaning and happiness, but it seems to be fruitless. And she struggles, the way so many women do, because her love for her family is suffocating, even while it fulfills her.<br> <br>It's not until she meets two Italian dwarves, and they teach her of the ancient clown tradition, the commedia dell'arte, that she comes to understand that in order to make everyone else happy, she herself must be happy.<br><br>But first she must find her own way in the world... and learn to accept that not even the power of the Evil Eye can keep people from changing.<br>","Fiction, Sagas, Women, Family Life","Fiction, Sagas, Women",en,400.0,Mass Market Paperback,https://images.isbndb.com/covers/13215423482460.jpg,
0767908198,Auntie Mame: An Irreverent Escapade,Patrick Dennis,2001,Broadway Books,"<b>With a wit as sharp as a vodka stinger and a heart as free as her spirit, Auntie Mame burst onto the literary scene in 1955--and today remains one of the most unforgettable characters in contemporary fiction.<br></b><br>Wildly successful when it was first published in 1955, Patrick Dennis’ <i>Auntie Mame</i> sold over two million copies and stayed put on the <i>New York Times</i> bestseller list for 112 weeks. It was made into a play, a Broadway and a Hollywood musical, and a fabulous movie starring Rosalind Russell. Since then, Mame has taken her rightful place in the pantheon of Great and Important People as the world’s most beloved, madcap, devastatingly sophisticated, and glamorous aunt. She is impossible to resist, and this hilarious story of an orphaned ten-year-old boy sent to live with his aunt is as delicious a read in the twenty-first century as it was in the 1950s.<br><br>Follow the rollicking adventures of this unflappable flapper as seen through the wide eyes of her young, impressionable nephew and discover anew or for the first time why Mame has made the world a more wonderful place.<br><br>""Outrageous, hilarious, ribald, sophisticated, slapsatiric."" The Denver Post","Fiction, Family Life, Coming of Age, Humorous","Fiction, Family Life, Coming of Age",en,320.0,Paperback,https://images.isbndb.com/covers/10752723482461.jpg,
0425194795,Back Story,Robert B. Parker,2004,Berkley Publishing Group,"In Robert B. Parker's most popular series, an unsolved thirty-year-old-murder draws the victim's daughter out of the shadows for overdue justice-and lures Spenser into his own past, old crimes, and dangerous lives.","Fiction, Thrillers, Suspense, Mystery & Detective, Private Investigators","Fiction, Thrillers, Suspense",en,304.0,Mass Market Paperback,https://images.isbndb.com/covers/10085183482339.jpg,
042519129X,"The English Breakfast Murder (Childs, Laura. Tea Shop Mysteries.)",Laura Childs,2003,Berkley Publishing Group,"It is a truly exhilarating experience for Indigo Tea Shop owner Theodosia Browning-helping Charleston's Sea Turtle Protection League shepherd hundreds of tiny green loggerheads safely into the sea. But just as she's about to celebrate all her hard work, she spots a dead body bobbing in the waves. Now it's up to Theo to get to the bottom of the murder before the culprit's greed stirs him to kill again.","Fiction, Mystery & Detective, Cozy, Women Sleuths, Amateur Sleuth","Fiction, Mystery & Detective, Cozy",en,288.0,Mass Market Paperback,https://images.isbndb.com/covers/10050123482339.jpg,
0553582275,Unhinged : A Home Repair is Homicide Mystery,SARAH GRAVES,2003,Bantam,"Once a Wall Street hotshot, Jacobia “Jake” Tiptree chucked it all for a charmingly dilapidated fixer-upper in the tiny town of Eastport, Maine. She was certain she’d left the dangers of city life behind—until she discovered that no place, no matter how idyllic and peaceful it may appear, is safe from murder.<br><b><br></b>It began with the mysterious disappearance of Harriet Hollingsworth—Eastport’s snoopiest resident. Everyone is convinced the old busybody bolted out of town to escape her creditor—everyone except Jake and her best friend Ellie who know Harriet would never leave home without her most prized possession. But before Jake and Ellie can persuade police chief Bob Arnold to open an investigation, they’ll need to come up with proof more sinister than a pair of abandoned binoculars. <br><br>Just as Jake starts poking around for clues, things suddenly take a troubling turn for the worse. A suspicious accident nearly kills her teenaged son, Sam, and her husband, Wade, just misses getting his head blown off. Jake is prepared to attribute these incidents to a spate of bad luck—until another “accident” leaves a visitor to Eastport unmistakably dead. <br><br>Most perplexing, all this mayhem coincides with the unexpected arrival of a man from Jake’s past: a former New York City cop. Harry Markle claims he has unintentionally brought an unwelcome guest into Eastport: a crook determined to knock off everyone with ties to Harry. <br><br>Twenty-four hours ago, Jake’s only worry was fixing her broken-down gutters and downspouts before the big storm swept into town. Now, everything seems to be falling apart all around her. Jake knows from experience that the truth is usually as messy and complicated as do-it-yourself remodeling. As it becomes chillingly clear that appearances in this quaint community are more misleading than ever, she’ll have to find a way to lure a homicidal maniac into the light--before he nails another victim.","Fiction, Mystery & Detective, Women Sleuths, Thrillers, Suspense, Traditional","Fiction, Mystery & Detective, Women Sleuths",en,368.0,Mass Market Paperback,https://images.isbndb.com/covers/2013623482385.jpg,
0312287682,Girlfriend 44,Mark Barrowcliffe,2002,St. Martin's Griffin,"From age ten, Harry has had just one ambition—to find the one girl for him. Forty-three women and twenty-odd years later, he is still looking. He doesn’t ask for much: just a beautiful intellectual who doesn’t mind his constant infidelity.<br><br>Harry’s roommate Gerrard did once find True Love—but he didn’t realize it until the day she left him. Only two women have met his exacting criteria, and he’s not hopeful that he’ll find another. Even if he does, he’s not sure he can trust her not to grow old eventually.<br><br>And then Harry and Gerrard meet Alice.<br><br>Alice is the perfect woman. She’s the only woman in the world Harry and Gerrard can agree on. Unfortunately, she seems to like both of them, and neither will stop at anything to win her for good.<br>","Fiction, Humorous, Romance","Fiction, Humorous, Romance",en,384.0,Paperback,https://images.isbndb.com/covers/4445683482299.jpg,
0767912950,SilkyDreamGirl,Cris Burks,2002,Harlem Moon,"Katie has reached the end of her rope. Her fourth marriage is falling apart, she’s drowning in debt but can’t find a job, and now she has to care for the sons of husband number four. To top it off, her mother won’t stop harping on Katie’s weight, as if the scale held the answer to all these troubles.<br/><br/>Like millions of women, Katie decides to tune out her real-life woes by tuning in to the Internet. There, she sheds her plus-size wardrobe and emerges as SilkyDreamGirl, an identity as luscious as the desserts she craves. Soon Katie's imaginary self, who is persuasive, in control, and very sexy, starts taking charge in Katie's off-line world. Inspired by her sultry chat-room dates, she turns the tables on her badgering ex and starts enjoying the sweet life. She even turns her affection for confections into a lucrative baking business. Clever, fast-paced, and good for the soul, SilkyDreamGirl is a terrific treat that’s low in calories and high in fun.","FICTION_ROMANCE_GENERAL, AFRICAN AMERICANS_FICTION, FICTION_PSYCHOLOGICAL","FICTION_ROMANCE_GENERAL, AFRICAN AMERICANS_FICTION, FICTION_PSYCHOLOGICAL",en,304.0,Paperback,https://images.isbndb.com/covers/10800333482461.jpg,
0758203330,Thoughts While Having Sex,Stephanie Lehmann,2003,STRAPLESS,"In a voice that rings with humor, vulnerability and honesty, newcomer Stephanie Lehmann introduces Jennifer Ward, a twentysomething playwright whose Off-Off Broadway shows pale in comparison with the drama being played out in her mind on a minute-to-minute basis. But Jennifer soon discovers that no matter how booming her self-doubts can sound, nothing speaks louder than hope -- and love.<p>Real life has not been easy for Jennifer. She worries that she's getting hooked on a health food store sleep aid. She didn't pass her last Cosmo quiz. She can't eat cheesecake, take a meeting, or indulge in a sexual fantasy without being overpowered by a completely consuming chorus of desire and doubt battling for control of her every waking thought. It's tough being a good girl when one's psyche is in sabotage mode.<p>But beneath the noise of her own thoughts lie more painful voices Jennifer would rather not hear -- the voices that remind her of the heartbreaking death of her sister. Their love/hate relationship haunts more than Jennifer's memories; it colors her work, finding its way into her latest play. Jennifer certainly doesn't intend to let anyone know about all that stuff -- certainly not Peter, the sexy director who seems to show up in her fantasies more and more. . .or Kelly, the gorgeous, ambitious actress who may be playing up to Peter, too. But the person Jennifer needs to hide from most is herself, and when her future takes a wild turn for the worst, she just may get the role of her dreams -- and a chance to change her life.</p></p>","Fiction, Romance, Contemporary","Fiction, Romance, Contemporary",en,256.0,Paperback,https://images.isbndb.com/covers/26047323482457.jpg,
0312287364,Feeling Sorry for Celia : A Novel,Jaclyn Moriarty,2002,St. Martin's Griffin,"<p><b>A #1 Bestseller in Australia and Book Sense 76 Pick</b></p><p>Life is pretty complicated for Elizabeth Clarry. Her best friend Celia keeps disappearing, her absent father suddenly reappears, and her communication with her mother consists entirely of wacky notes left on the fridge. On top of everything else, because her English teacher wants to rekindle the ""Joy of the Envelope,"" a Complete and Utter Stranger knows more about Elizabeth than anyone else. </p><p>But Elizabeth is on the verge of some major changes. She may lose her best friend, find a wonderful new friend, kiss the sexiest guy alive, and run in a marathon. <br>So much can happen in the time it takes to write a letter...</p><p>A #1 bestseller in Australia, this fabulous debut is a funny, touching, revealing story written entirely in the form of letters, messages, postcards—and bizarre missives from imaginary organizations like The Cold Hard Truth Association.</p><p><i>Feeling Sorry for Celia</i> captures, with rare acuity, female friendship and the bonding and parting that occurs as we grow. Jaclyn Moriarty's hilariously candid novel shows that the roller coaster ride of being a teenager is every bit as fun as we remember—and every bit as harrowing.</p>","Fiction, Coming of Age, Family Life","Fiction, Coming of Age, Family Life",en,276.0,Paperback,https://images.isbndb.com/covers/4442473482299.jpg,
0312308922,The Minotaur Takes a Cigarette Break: A Novel,Steven Sherrill,2002,Picador USA,"<p>Five thousand years out of the Labyrinth, the Minotaur finds himself in the American South, living in a trailer park and working as a line cook at a steakhouse. No longer a devourer of human flesh, the Minotaur is a socially inept, lonely creature with very human needs. But over a two-week period, as his life dissolves into chaos, this broken and alienated immortal awakens to the possibility for happiness and to the capacity for love.</p>","Fiction, Fantasy, Contemporary, Fairy Tales, Folk Tales, Legends & Mythology, Literary, Southern","Fiction, Fantasy, Contemporary",en,320.0,Paperback,https://images.isbndb.com/covers/4658053482299.jpg,
0446612529,Dead Midnight (Sharon McCone Mysteries (Paperback)),Marcia Muller,2003,Warner Books,"Stretching flat across the water, the San Francisco-Oakland Bay Bridge is a popular spot...for jumpers. Roger Nagasawa, a brilliant employee at a popular Internet magazine, is its latest ""suicide"" and veteran P. I. Sharon McCone's new case. But instead of getting closure for his family, McCone uncovers more questions than answers: Roger's stark apartment...his aloof parents, who had wanted an investigation and now refuse to talk...a cutthroat workplace...a cache of secrets in a shady waterfront deal. It's a puzzle within a puzzle with a deadly game at its heart. For the elusive, twisted trail is about to circle back into Sharon McCone's own life-and bring the danger home.","Fiction, Mystery & Detective","Fiction, Mystery & Detective",en,336.0,Mass Market Paperback,https://images.isbndb.com/covers/27661903482346.jpg,
0380804921,The House of Seven Mabels : A Jane Jeffry Mystery (Jane Jeffry Mysteries (Paperback)),Jill Churchill,2003,Avon,"<p>""Homemaking"" is about to take on a whole new meaning for Jane Jeffry, now that she's agreed to help the prosperously divorced Bitsy Burnside restore and redecorate a decrepit old neighborhood mansion. Bitsy's decision to employ an almost all-woman crew has prompted Jane's quick-witted best bud Shelley Nowack to dub the project, ""the House of Seven Mabels"" -- but it's also engendered some nasty ill will.</p> <p>And when what begins as a series of anonymous, mean-spirited ""pranks"" ends up leaving one of the workwomen lying dead at the foot of a staircase, Jane and Shelley decide to try and nail the assassin. But the more Jane saws away at the truth, the more it appears that she may be painting herself into a corner, leaving herself no exit if a crafty killer decides to make Jane Jeffry the next demolition project.</p>","Fiction, Women, Mystery & Detective","Fiction, Women, Mystery & Detective",en,256.0,Mass Market Paperback,https://images.isbndb.com/covers/15559073482323.jpg,
0425178854,"Murder, My Deer (Kate Jasper Mysteries (Paperback))",Jaqueline Girdner,2001,Berkley Publishing Group,"Kate and longtime sweetheart Wayne Caruso finally tie the knot. But deer have ravaged their garden, and when they attend a support group to cope with the antlered intruders, things go from bad to worse. An anti-deer activist is found murdered. Then an animal rights group threatens Kate. Now she'll have to put her honeymoon on hold, calm the activists, and track down a killer.","Fiction, Mystery & Detective, Women Sleuths","Fiction, Mystery & Detective, Women Sleuths",en,288.0,Mass Market Paperback,https://images.isbndb.com/covers/9925693482339.jpg,
0812570219,Cat in a Midnight Choir : A Midnight Louie Mystery (A Midnight Louie Mystery),Carole Nelson Douglas,2003,Forge Books,"<p>Midnight Louie, black cat detective, is hunting a mysterious organization of renegade magicians called the Synth. In this, the fourteenth Midnight Louie mystery, Louie's daughter Midnight Louise--and some of her friends--join the nations number-one cat sleuth as he trails a Synth illusionist and her scheming Siamese assistant.</p><p>While the felines battle black magic, Louie's cherished roommate, the plucky PR freelancer Temple Barr, is investigating the Synth despite the discouragement of homicide lieutenant C.R. Molina--but Molina herself is secretly moonlighting as an undercover operative to nail the killer of a young stripper. The search has boiled down to two suspects: Temple's current significant other and Molina's ex-lover.</p><p>As Louie and his human friends sink deeper into a lose-lose situation of crime and punishment, there doesn't seem to be a way out... except another murder.</p>","Fiction, Mystery & Detective, Women Sleuths","Fiction, Mystery & Detective, Women Sleuths",en,416.0,Mass Market Paperback,https://images.isbndb.com/covers/8000293482477.jpg,
0743444043,Double Dealer : Crime Scene Investigation,Max Allan Collins,2003,Pocket,"Meet the little known and even less understood heroes of police work in Las Vegas -- the forensic investigators. Led by veteran Gil Grissom, the remarkable team assigned to the Criminalistics Bureau's graveyard shift -- including Catherine Willows, Warrick Brown, Nick Stokes, and Sara Sidle -- must combine cutting-edge scientific methods and old-fashioned savvy as they work to untangle the evidence behind the yellow police tape. While Nick and Catherine investigate a newly discovered fifteen-year-old murder, Grissom and the rest of the team must uncover the indentity of a cold-blooded killer -- one whose execution-style, ""double-tap"" signature has provoked the interest of FBI agent Rick Culpepper.","Fiction, Media Tie-In, Mystery & Detective, Police Procedural","Fiction, Media Tie-In, Mystery & Detective",en,320.0,Mass Market Paperback,https://images.isbndb.com/covers/18883323482452.jpg,
0061015628,Cat Laughing Last : A Joe Grey Mystery (Joe Grey Mysteries (Paperback)),Shirley Rousseau Murphy,2002,Avon,"<p>Fans of Lillian Jackson Braun and Rita Mae Brown and cat lovers everywhere will delight in this newest mystery featuring two furry felines on the scent of a killer.</p> <p> Famous novelist Elliot Traynor is temporarily living in Molena Point. He and his wife don't have much to do with the villagers, which is fine with them since no one particularly likes Vivi. But their arrival has coincided with some peculiar happenings in the town, culminating with a botched burglary in the home of 60–something Susan Brittian. Susan is a friend to feline detectives Joe Grey and Dulcie and they aren't going to let this crime go unpunished. With whiskers twitching they investigate the crime and soon find themselves on the scent of a killer.</p>","Fiction, Women, Mystery & Detective","Fiction, Women, Mystery & Detective",en,368.0,Mass Market Paperback,https://images.isbndb.com/covers/19446143482209.jpg,
